entity_name,timestamp,customer_id,signup_date,cohort_month,region,role,team,plan_tier,lifecycle_status,mrr_usd,seats,expansion_mrr_usd,contraction_mrr_usd,churned_this_month,new_customer_this_month,seasonality_index,noise_component,anomaly_flag,category,source_type
STEADYFLOW_CLOUD,2023-01-01,STEADY_00072,2022-09-01,2022-09-01,EU,individual_contributor,sales,enterprise,churned,0.0,102,0.0,1929.06,1,0,1.0,0.0,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00120,2022-07-01,2022-07-01,NA,individual_contributor,marketing,growth,churned,0.0,7,0.0,241.09,1,0,1.0,0.0,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00049,2022-12-01,2022-12-01,NA,individual_contributor,marketing,starter,churned,0.0,1,0.0,177.76,1,0,1.0,0.0,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00001,2023-01-01,2023-01-01,NA,individual_contributor,product,growth,active,242.75,7,0.0,3.82,0,1,1.0,-0.0047,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00002,2022-04-01,2022-04-01,NA,individual_contributor,product,enterprise,active,1007.07,47,0.0,16.53,0,0,1.0,-0.0341,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00003,2022-03-01,2022-03-01,EU,operations_manager,marketing,growth,active,404.23,7,14.37,0.0,0,0,1.0,0.0136,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00004,2022-09-01,2022-09-01,LATAM,individual_contributor,sales,starter,active,149.04,3,0.0,2.89,0,0,1.0,-0.0262,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00005,2022-12-01,2022-12-01,NA,individual_contributor,marketing,starter,active,176.06,3,0.0,0.2,0,0,1.0,-0.0101,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00006,2022-08-01,2022-08-01,NA,operations_manager,sales,starter,active,87.45,1,1.54,0.0,0,0,1.0,0.0089,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00007,2022-05-01,2022-05-01,EU,individual_contributor,sales,starter,active,120.07,5,0.75,0.0,0,0,1.0,-0.0022,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00008,2022-11-01,2022-11-01,EU,team_lead,marketing,starter,active,180.62,2,0.0,0.93,0,0,1.0,-0.0013,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00009,2022-02-01,2022-02-01,EU,team_lead,sales,starter,active,129.08,1,2.82,0.0,0,0,1.0,0.028,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00010,2022-05-01,2022-05-01,NA,operations_manager,customer_success,growth,active,481.98,12,0.0,6.06,0,0,1.0,-0.002,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00011,2022-12-01,2022-12-01,EU,individual_contributor,sales,growth,active,296.11,9,3.85,0.0,0,0,1.0,-0.0021,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00012,2022-08-01,2022-08-01,EU,operations_manager,sales,starter,active,89.93,5,0.0,0.75,0,0,1.0,-0.0028,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00013,2022-03-01,2022-03-01,EU,individual_contributor,sales,starter,active,80.94,1,0.0,0.14,0,0,1.0,-0.0187,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00014,2022-08-01,2022-08-01,EU,executive_sponsor,product,growth,active,427.15,8,0.0,4.72,0,0,1.0,-0.0137,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00015,2022-02-01,2022-02-01,EU,executive_sponsor,customer_success,enterprise,active,762.25,71,3.81,0.0,0,0,1.0,0.002,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00016,2022-12-01,2022-12-01,APAC,individual_contributor,marketing,growth,active,352.43,17,5.27,0.0,0,0,1.0,0.0005,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00017,2022-12-01,2022-12-01,APAC,team_lead,marketing,enterprise,active,1979.13,37,0.0,60.06,0,0,1.0,-0.0463,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00018,2023-01-01,2023-01-01,LATAM,team_lead,product,starter,active,106.82,2,0.0,5.48,0,1,1.0,-0.0371,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00019,2022-12-01,2022-12-01,EU,executive_sponsor,sales,starter,active,170.36,3,2.04,0.0,0,0,1.0,0.0152,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00020,2022-02-01,2022-02-01,NA,team_lead,product,starter,active,153.01,3,0.0,2.22,0,0,1.0,-0.0345,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00021,2022-08-01,2022-08-01,NA,team_lead,customer_success,growth,active,331.72,14,0.0,8.83,0,0,1.0,-0.0237,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00022,2022-08-01,2022-08-01,NA,team_lead,marketing,enterprise,active,1408.27,71,39.52,0.0,0,0,1.0,0.0288,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00023,2022-04-01,2022-04-01,EU,individual_contributor,customer_success,starter,active,185.76,4,0.0,2.11,0,0,1.0,-0.0202,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00024,2022-04-01,2022-04-01,NA,individual_contributor,customer_success,enterprise,active,1394.3,107,28.58,0.0,0,0,1.0,-0.0006,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00025,2022-12-01,2022-12-01,NA,individual_contributor,sales,starter,active,177.39,4,2.63,0.0,0,0,1.0,-0.0015,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00026,2022-05-01,2022-05-01,APAC,individual_contributor,product,starter,active,89.67,4,0.0,0.13,0,0,1.0,-0.0074,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00027,2022-08-01,2022-08-01,EU,individual_contributor,product,starter,active,190.2,5,2.56,0.0,0,0,1.0,0.0019,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00028,2022-07-01,2022-07-01,NA,operations_manager,customer_success,starter,active,126.12,3,1.45,0.0,0,0,1.0,0.0009,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00029,2022-08-01,2022-08-01,NA,executive_sponsor,sales,starter,active,160.94,1,1.59,0.0,0,0,1.0,-0.0009,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00030,2023-01-01,2023-01-01,LATAM,individual_contributor,customer_success,starter,active,102.76,3,0.0,1.65,0,1,1.0,-0.0179,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00031,2022-03-01,2022-03-01,NA,individual_contributor,customer_success,growth,active,542.95,7,0.0,8.27,0,0,1.0,-0.0205,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00032,2022-07-01,2022-07-01,NA,individual_contributor,marketing,starter,active,142.4,5,2.46,0.0,0,0,1.0,0.0115,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00033,2022-06-01,2022-06-01,APAC,individual_contributor,marketing,growth,active,262.31,20,0.0,3.72,0,0,1.0,-0.0296,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00034,2022-07-01,2022-07-01,APAC,executive_sponsor,customer_success,starter,active,76.61,3,0.0,0.94,0,0,1.0,-0.0121,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00035,2022-03-01,2022-03-01,NA,executive_sponsor,sales,enterprise,active,2080.4,84,65.79,0.0,0,0,1.0,0.0152,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00036,2022-12-01,2022-12-01,LATAM,executive_sponsor,customer_success,starter,active,174.38,4,3.47,0.0,0,0,1.0,0.025,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00037,2023-01-01,2023-01-01,LATAM,individual_contributor,customer_success,starter,active,125.69,2,1.84,0.0,0,1,1.0,0.0173,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00038,2022-06-01,2022-06-01,NA,team_lead,sales,enterprise,active,1739.85,86,0.0,42.96,0,0,1.0,-0.0111,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00039,2022-10-01,2022-10-01,APAC,executive_sponsor,product,growth,active,516.55,6,7.33,0.0,0,0,1.0,0.0066,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00040,2022-04-01,2022-04-01,NA,team_lead,customer_success,starter,active,78.36,5,0.94,0.0,0,0,1.0,0.0032,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00041,2022-06-01,2022-06-01,APAC,individual_contributor,product,starter,active,75.45,4,1.94,0.0,0,0,1.0,0.0099,0,saas,csv
STEADYFLOW_CLOUD,2023-01-01,STEADY_00042,2023-01-01,2023-01-01,NA,individual_contributor,product,enterprise,active,1375.64,23,39.53,0.0,0,1,1.0,0.023,0,saas,csv
