"category","entity_name","metric_name","metric_value","timestamp","source_type"
"saas","ATLAS_DYNAMICS_710","mrr","187747.75","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02075","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07319","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.04425","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","118.49","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5945.53","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2252973.0","2019-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","223593.24","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02121","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08938","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.15000","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","123.54","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","6231.38","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2683118.88","2019-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","205927.13","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02184","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07962","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.04654","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","125.92","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5452.52","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2471125.56","2019-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","201585.55","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02189","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.09092","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.03078","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","124.54","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5576.87","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2419026.6","2019-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","205296.69","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02408","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.09902","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.02243","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","126.37","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4849.17","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2463560.28","2019-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","194203.24","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02707","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08471","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.03940","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","126.33","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4420.82","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2330438.88","2019-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","205598.83","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02674","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08682","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.04324","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","122.97","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4256.25","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2467185.96","2019-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","227786.70","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.03019","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.09008","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.07313","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","117.41","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","3878.47","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2733440.4","2019-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","271524.83","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02765","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.06968","2019-09-01","internal_system"
